baseline_trans_multiplier,sus_per_inv,testing_bool,test_sens,test_spec,test_receptiveness,test_turnaround_time,react_vacc_bool,react_vacc_threshold,react_vacc_turnaround_time,ini_vacc_prop,react_vacc_prop,paridx
1.0,3,0,-1.0,-1.0,-1.0,-1,0,-1,-1,0.0,1.0,1
1.0,3,1,1.0000000000000004,1.0000000000000004,0.1,5,1,5,7,0.0,1.0,2
1.0,3,1,1.0000000000000004,1.0000000000000004,0.1,5,1,5,21,0.0,1.0,3
1.0,3,1,1.0000000000000004,1.0000000000000004,0.1,5,1,10,7,0.0,1.0,4
1.0,3,1,1.0000000000000004,1.0000000000000004,0.1,5,1,10,21,0.0,1.0,5
1.0,3,1,1.0000000000000004,0.9500000000000003,0.1,5,1,5,7,0.0,1.0,6
1.0,3,1,1.0000000000000004,0.9500000000000003,0.1,5,1,5,21,0.0,1.0,7
1.0,3,1,1.0000000000000004,0.9500000000000003,0.1,5,1,10,7,0.0,1.0,8
1.0,3,1,1.0000000000000004,0.9500000000000003,0.1,5,1,10,21,0.0,1.0,9
1.0,3,1,1.0000000000000004,0.9000000000000002,0.1,5,1,5,7,0.0,1.0,10
1.0,3,1,1.0000000000000004,0.9000000000000002,0.1,5,1,5,21,0.0,1.0,11
1.0,3,1,1.0000000000000004,0.9000000000000002,0.1,5,1,10,7,0.0,1.0,12
1.0,3,1,1.0000000000000004,0.9000000000000002,0.1,5,1,10,21,0.0,1.0,13
1.0,3,1,1.0000000000000004,0.8500000000000002,0.1,5,1,5,7,0.0,1.0,14
1.0,3,1,1.0000000000000004,0.8500000000000002,0.1,5,1,5,21,0.0,1.0,15
1.0,3,1,1.0000000000000004,0.8500000000000002,0.1,5,1,10,7,0.0,1.0,16
1.0,3,1,1.0000000000000004,0.8500000000000002,0.1,5,1,10,21,0.0,1.0,17
1.0,3,1,1.0000000000000004,0.8000000000000002,0.1,5,1,5,7,0.0,1.0,18
1.0,3,1,1.0000000000000004,0.8000000000000002,0.1,5,1,5,21,0.0,1.0,19
1.0,3,1,1.0000000000000004,0.8000000000000002,0.1,5,1,10,7,0.0,1.0,20
1.0,3,1,1.0000000000000004,0.8000000000000002,0.1,5,1,10,21,0.0,1.0,21
1.0,3,1,1.0000000000000004,0.7500000000000001,0.1,5,1,5,7,0.0,1.0,22
1.0,3,1,1.0000000000000004,0.7500000000000001,0.1,5,1,5,21,0.0,1.0,23
1.0,3,1,1.0000000000000004,0.7500000000000001,0.1,5,1,10,7,0.0,1.0,24
1.0,3,1,1.0000000000000004,0.7500000000000001,0.1,5,1,10,21,0.0,1.0,25
1.0,3,1,1.0000000000000004,0.7000000000000001,0.1,5,1,5,7,0.0,1.0,26
1.0,3,1,1.0000000000000004,0.7000000000000001,0.1,5,1,5,21,0.0,1.0,27
1.0,3,1,1.0000000000000004,0.7000000000000001,0.1,5,1,10,7,0.0,1.0,28
1.0,3,1,1.0000000000000004,0.7000000000000001,0.1,5,1,10,21,0.0,1.0,29
1.0,3,1,1.0000000000000004,0.65,0.1,5,1,5,7,0.0,1.0,30
1.0,3,1,1.0000000000000004,0.65,0.1,5,1,5,21,0.0,1.0,31
1.0,3,1,1.0000000000000004,0.65,0.1,5,1,10,7,0.0,1.0,32
1.0,3,1,1.0000000000000004,0.65,0.1,5,1,10,21,0.0,1.0,33
1.0,3,1,1.0000000000000004,0.6,0.1,5,1,5,7,0.0,1.0,34
